Start Date,End Date,Brand,Conversion path,Sales,Purchases,New-to-brand product sales,New-to-brand purchases,Sponsored Brands display frequency,Sponsored Display display frequency,Amazon DSP display frequency,Sponsored Brands video frequency,Amazon DSP online video frequency,Sponsored TV Streaming TV frequency,Amazon DSP Streaming TV frequency,Amazon DSP audio frequency,Sponsored Products frequency,Sponsored Display frequency,Sponsored Display online video frequency,Currency
2026-08-03 00:00:00,2026-08-29 00:00:00,Dexas,Sponsored Products > Display (Sponsored Brands) > Display (Amazon DSP) > [Purchase],156.01,11.0,156.01,11.0,1.1818181818181819,0.0,5.909090909090909,0.0,0.0,0.0,0.0,0.0,1.3636363636363635,0.0,0.0,USD
2026-08-03 00:00:00,2026-08-28 00:00:00,Dexas,Online Video (Sponsored Brands) > Sponsored Products > [Purchase],140.84,10.0,122.92,9.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,1.2,0.0,0.0,USD
2026-08-01 00:00:00,2026-08-25 00:00:00,Dexas,Display (Sponsored Brands) > Display (Amazon DSP) > Sponsored Products > [Purchase],144.18,10.0,129.18,9.0,1.2,0.0,1.8,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,USD
2026-08-17 00:00:00,2026-08-17 00:00:00,Dexas,Online Video (Sponsored Brands) > Display (Amazon DSP) > Sponsored Products > [Purchase],11.69,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,USD
2026-08-04 00:00:00,2026-08-10 00:00:00,Dexas,Sponsored Products > Display (Amazon DSP) >  (Sponsored Display) > [Purchase],35.0,3.0,27.24,2.0,0.0,0.0,10.333333333333334,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,2.0,0.0,USD
2026-08-03 00:00:00,2026-08-27 00:00:00,Dexas,Display (Sponsored Brands) > Display (Amazon DSP) >  (Sponsored Display) > [Purchase],27.94,3.0,20.0,2.0,1.3333333333333333,0.0,4.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,USD
2026-08-01 00:00:00,2026-08-29 00:00:00,Dexas,Display (Sponsored Brands) > [Purchase],8046.24,559.0,7362.08,508.0,1.1162790697674418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USD
2026-08-02 00:00:00,2026-08-17 00:00:00,Dexas,Display (Amazon DSP) > Online Video (Sponsored Brands) > [Purchase],26.69,2.0,26.69,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USD
2026-08-01 00:00:00,2026-08-29 00:00:00,Dexas,Sponsored Products > Display (Amazon DSP) > [Purchase],17886.69,1111.0,15474.99,979.0,0.0,0.0,3.0882088208820884,0.0,0.0,0.0,0.0,0.0,2.0486048604860487,0.0,0.0,USD
2026-08-05 00:00:00,2026-08-24 00:00:00,Dexas,Online Video (Sponsored Brands) > Display (Amazon DSP) > [Purchase],172.24,10.0,135.37,8.0,0.0,0.0,3.1,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USD
2026-08-22 00:00:00,2026-08-22 00:00:00,Dexas,Online Video (Sponsored Brands) > Display (Sponsored Brands) > Display (Amazon DSP) > [Purchase],15.0,1.0,15.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USD
2026-08-01 00:00:00,2026-08-29 00:00:00,Dexas,Display (Amazon DSP) > [Purchase],28703.63,1867.0,24489.56,1636.0,0.0,0.0,3.2811997857525443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USD
