Start Date,End Date,Brand,Conversion path,Sales,Purchases,New-to-brand product sales,New-to-brand purchases,Sponsored Brands display frequency,Sponsored Display display frequency,Amazon DSP display frequency,Sponsored Brands video frequency,Amazon DSP online video frequency,Sponsored TV Streaming TV frequency,Amazon DSP Streaming TV frequency,Amazon DSP audio frequency,Sponsored Products frequency,Sponsored Display frequency,Sponsored Display online video frequency,Currency
2026-08-20 00:00:00,2026-08-20 00:00:00,Sud Scrub,(Sponsored Display) > Sponsored Products > Display (Amazon DSP) > [Purchase],19.99,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,USD
2026-07-25 00:00:00,2026-08-17 00:00:00,Sud Scrub,Sponsored Products > Display (Sponsored Brands) > Display (Amazon DSP) > [Purchase],413.84,17.0,338.87,14.0,1.2352941176470589,0.0,1.9411764705882353,0.0,0.0,0.0,0.0,0.0,1.8823529411764706,0.0,0.0,USD
2026-07-25 00:00:00,2026-08-22 00:00:00,Sud Scrub,Online Video (Sponsored Brands) > Sponsored Products > [Purchase],3664.99,143.0,3130.21,121.0,0.0,0.0,0.0,1.3566433566433567,0.0,0.0,0.0,0.0,1.5174825174825175,0.0,0.0,USD
2026-08-01 00:00:00,2026-08-01 00:00:00,Sud Scrub,Sponsored Products > Display (Amazon DSP) >  (Sponsored Display) > Online Video (Sponsored Brands) > [Purchase],19.99,1.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,USD
2026-07-27 00:00:00,2026-08-17 00:00:00,Sud Scrub,Display (Amazon DSP) >  (Sponsored Display) > Sponsored Products > [Purchase],59.98,2.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,2.5,1.5,0.0,USD
2026-07-27 00:00:00,2026-08-19 00:00:00,Sud Scrub,Display (Sponsored Brands) > Display (Amazon DSP) > Sponsored Products > [Purchase],209.91,9.0,109.96,4.0,2.4444444444444446,0.0,2.4444444444444446,0.0,0.0,0.0,0.0,0.0,1.1111111111111112,0.0,0.0,USD
2026-07-25 00:00:00,2026-08-21 00:00:00,Sud Scrub,Online Video (Sponsored Brands) > Display (Amazon DSP) > Sponsored Products > [Purchase],1324.48,48.0,1089.57,40.0,0.0,0.0,2.3333333333333335,1.2083333333333333,0.0,0.0,0.0,0.0,1.2916666666666667,0.0,0.0,USD
2026-07-25 00:00:00,2026-08-18 00:00:00,Sud Scrub,Sponsored Products > Display (Amazon DSP) >  (Sponsored Display) > [Purchase],592.77,20.0,452.83,14.0,0.0,0.0,16.3,0.0,0.0,0.0,0.0,0.0,3.15,1.4,0.0,USD
2026-08-16 00:00:00,2026-08-16 00:00:00,Sud Scrub,Display (Sponsored Brands) > Display (Amazon DSP) >  (Sponsored Display) > [Purchase],29.99,1.0,29.99,1.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,USD
2026-07-25 00:00:00,2026-08-22 00:00:00,Sud Scrub,Display (Sponsored Brands) > [Purchase],3891.5,149.0,3481.69,131.0,1.1543624161073827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USD
2026-08-08 00:00:00,2026-08-19 00:00:00,Sud Scrub,Online Video (Sponsored Brands) > Display (Amazon DSP) >  (Sponsored Display) > [Purchase],49.98,2.0,49.98,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,USD
